__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · בית,R1-01,H-01,"בעמוד מופיע ציר זמן עם השנים 1999 · 2004 · 2017. השנים 2004 ו-2017 לא הגיעו ממך — אנחנו הוספנו אותן. ציר הזמן גם אינו חלק מ-12 הפרקים שהגדרת. להשאיר ולדייק, או להוריד?",,,,בוצע,—,ברור,ציר זמן ביוגרפי (about_timeline),לא קיים ב-12 הפרקים,"ארבע תחנות מתוארכות. אומת: «ציר זמן» 0 מופעים במסמכי אייל · 2004 → 0 · 2017 → 0 · 1999 מופיע פעם אחת, בשורת ה-trust בלבד. SECTION 11 הוא פרוזה ללא שנים.",אם נשאר — השנים והטקסטים האמיתיים מאייל. אין לנו מקור.,לפי הבחירה.,home-defaults.php:44-49 · section-01-about.php,http://eyalamit-co-il-2026.s887.upress.link/#about,"תוספת שלנו, לא של אייל — ולכן ההצעה היא של נימרוד. אם אייל רוצה ציר זמן, הוא מוסר שנים; אחרת יורד.",בוצע 21.8.26. מקור: דף הבית.xlsx D5 «למחוק מהדף». ציר הזמן לא מרונדר. 12 הפרקים לא נפתחו.,,
עמוד · בית,R1-01,H-06,פרק 3 בעמוד הוא «וידאו» ואין לנו קובץ. במסמך שלך הקישור הוא מציין-מקום (XXXXXXXXXXX). נא להדביק בעמודה «מילוי» עד שלושה קישורים או שמות קבצי וידאו.,,,,הוקפא,—,ברור,פרק 3 — וידאו,SECTION 03,הסקשן לא נבנה — אין מקור וידאו.,עד 3 קישורי YouTube/Vimeo או קבצים.,"בניית הסקשן לפי DEV NOTES של אייל: thumbnail + play, יחס 16:9.",tpl-chapters-home.php · סקשן חדש,https://drive.google.com/drive/folders/1fWSf3a47KxBHteTmT7mUD5bLzOLwDcze,,גל 11: אייל 19.8 לשלב 2/3. פלייסהולדר נשאר. אפס PHP. הוקפא.,,
עמוד · בית,R1-01,H-07,"פרק 9 «הצצה נוספת לחוויה» — הטקסט שלך מוכן. חסרה רק המדיה: גלריה או וידאו משני, תמונות אותנטיות בלבד. מה לשים שם?",,,,בוצע,—,ברור,פרק 9 — מדיה,SECTION 09,אייל ביקש «גלריה / וידאו משני · תמונות אותנטיות בלבד (לא stock)» בלי לציין אילו.,בחירת מדיה. הטקסט כבר קיים ומאושר.,שיבוץ המדיה בפלייסהולדר הקיים.,home-defaults.php · סקשן פרק 9,http://eyalamit-co-il-2026.s887.upress.link/#peek,,גל 1 21.8.26. מקור: דף הבית.xlsx D7 + תחתית האתר הישן. 30 תמונות ב-assets/images/chapters/home-peek/ בלי הוטלינק. Composer PASS.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-01a,"המלצה של דן ארליכמן — הטקסט שלה נאבד אצלנו בעיבוד ולכן היא לא מוצגת. שחזרנו את הנוסח מהמסמך שלך. לאשר אותו, או להוריד את ההמלצה?",,,,בוצע,—,ברור,דן ארליכמן — המלצה ללא טקסט,טיפול בדיג'רידו,באג פרסר: הטקסט נבלע לתוך שדה ה-URL (C-08). זו ההמלצה היחידה של דן — לכן ירד מהעמוד.,הנוסח מהמסמך: «משתף אתכם בכתבה על המורה הנפלא שלי לנשימה מעגלית אייל עמית שממלא אותי בהשראה עמוקה ומלמד אותי להתחבר ולהפיק את צלילי הבריאה המרפאים מתוכי. תודה רבה»,תיקון רשומה 13 בקורפוס.,inc/data/ea-testimonials-fb.json idx 13,https://www.facebook.com/share/p/1DKp5Coss8/,,גל 5 21.8.26: נוסח דן + URL כפי שאייל נתן. Composer PASS VERDICT-S006-W5-TESTIMONIALS.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-05,"עשרה ממליצים מופיעים יותר מפעם אחת בעמוד (21 מתוך 44 הכרטיסים). להשאיר הכל, או להציג המלצה אחת לכל אדם?",,,,בוצע,—,ברור,כפילויות שם עם תוכן מלא,ריכוז המלצות,קרן אברשי 3 · שירי אלקבץ · נוית צוף שטראוס · רותי שליט · קרין טננצאפ · ירון סאנצ'ו גושן · אלכס פלופ · אפרתה בנור · דרור מצליח · רני פריזאת — 2 כל אחד.,החלטת עריכה. כל ההמלצות אמיתיות ומאושרות.,סינון לפי שם ב-ea_fb_testimonials_archive().,inc/ea-testimonials-fb.php,http://eyalamit-co-il-2026.s887.upress.link/testimonials/,בחירה 2 = 34 כרטיסים במקום 44.,"גל 5: כפילויות שם נשארו, אפס מחיקה. Composer PASS VERDICT-S006-W5-TESTIMONIALS.",,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-03,כותרת העמוד היא «מדיה ווידאו» אבל התוכן בו הוא 48 המלצות. הכותרת מתארת משהו אחר. מה לשים?,,,,בוצע,—,ברור,כותרת העמוד מול תוכנו,—,"H1 = «מדיה ווידאו», תת-כותרת «סרטונים, הקלטות, וכתבות» — בעוד התוכן הוא המלצות.",כותרת שתואמת. אין לנו נוסח מאייל.,לפי הבחירה.,inc/chapters/defaults/media-defaults.php (hero),http://eyalamit-co-il-2026.s887.upress.link/testimonials/,,גל 5 21.8.26: H1 «עדויות והמלצות». קורפוס לא שונה. Composer PASS.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-04,"סרטונים, הקלטות וכתבות — טרם התקבלו. נא להדביק בעמודה «מילוי» קישורים, או לציין שהם יועלו לתיקיית הדרייב.",,,,הוקפא,—,ברור,"מדיה — סרטונים, הקלטות, כתבות",—,הסקשן מציג placeholder «ממתין להשלמה» — התוכן באמת חסר.,קישורים או קבצים.,שיבוץ + הסרת ה-placeholder.,inc/chapters/defaults/media-defaults.php,https://drive.google.com/drive/folders/1fWSf3a47KxBHteTmT7mUD5bLzOLwDcze,,גל 11: מדיה בהמשך. אפס PHP. הוקפא.,,
עמוד · טיפול בדיג'רידו,R1-02,T-01,"יש שתי גרסאות חיות של העמוד, שתיהן בטקסט שלך. בחרי איזו להעלות. ההבדלים כתובים למטה — אין צורך לחפש באתר.",,,,בוצע,—,ברור,בחירת גרסה — מוצעת מול מסמך,כל העמוד,"שתי תוספות שלנו אינן במסמך 13.8.26: רצועת תמונה עם «הנשימה היא לכולם» (אצלך זה בתוך שאלות נפוצות), וחמש שאלות על נחירות/CPAP.",בחירה בין שתי הגרסאות. אין ניסוח חדש.,"לפי הבחירה — אחת הגרסאות נשארת ב-/treatment/, השנייה יורדת.",treatment-defaults.php · treatment-eyal-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/treatment/,"גרסה מוצעת: http://eyalamit-co-il-2026.s887.upress.link/treatment/ — כוללת (1) רצועת תמונה עם המשפט «הנשימה היא לכולם» (2) חמש שאלות נוספות על נחירות ו-CPAP. גרסה לפי המסמך: http://eyalamit-co-il-2026.s887.upress.link/treatment/?compare=eyal — בלי הרצועה, ורק 15 השאלות שכתבת. כל שאר הטקסט זהה בשתי הגרסאות.",בוצע 21.8.26. מקור: טיפול.xlsx D5 «לך על הגרסה המוצעת». /treatment/ נשאר; compare=eyal אינו טוען טווין. treatment-defaults לא נערך.,,
עמוד · טיפול בדיג'רידו,R1-02,T-02,"בסקשן «איך נראה מפגש» חסר סרטון. נא להדביק בעמודה «מילוי» קישור או שם קובץ, או לציין שאין סרטון.",,,,הוקפא,—,ברור,סרטון מפגש,SECTION 06,המסמך מבקש טקסט+מדיה בלי לציין קובץ. באתר היה סרטון מדף הבית — הורד. במקומו קופסת מקום.,"קישור YouTube/Vimeo או קובץ, או «בלי סרטון».",שיבוץ הסרטון או השארת טקסט בלבד.,treatment-defaults.php · videoblk-placeholder.php,http://eyalamit-co-il-2026.s887.upress.link/treatment/#session,,גל 11: אייל 19.8 לשלב 2/3. אפס PHP. הוקפא.,,
עמוד · טיפול בדיג'רידו,R1-02,T-03,—,,,,בוצע,—,ברור,כפתור הירו ל-/contact/,SECTION 01,הכפתור קפץ ל-#what.,[לתיאום שיחת היכרות](/contact),cta_url=/contact/,treatment-defaults.php phero,,,בוצע 17.8.26 בשתי הגרסאות.,,
עמוד · טיפול בדיג'רידו,R1-02,T-04,—,,,,בוצע,—,ברור,מה זה — בלי פסקת 1999 שהומצאה,SECTION 03,פסקה ותג כתום על «מאז 1999» שלא במסמך הסקשן.,SECTION 03 ככתבו. 1999 נשאר ב-SECTION 11.,הדבקה מילה-במילה.,treatment-defaults.php SECTION 03,,,בוצע 17.8.26.,,
עמוד · טיפול בדיג'רידו,R1-02,T-05,—,,,,בוצע,—,ברור,למי מתאים — רשימה כתובה,SECTION 04,חסרו שני סעיפים; היו כרטיסי תמונה.,הרשימה מ-SECTION 04 כולל עייפות ומחלה.,החלפה לרשימה כתובה.,treatment-defaults.php SECTION 04,,,בוצע 17.8.26. כרטיסי התמונה ירדו.,,
עמוד · טיפול בדיג'רידו,R1-02,T-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על שמות ממליצים,SECTION 08,13 שמות בלי קישור לפוסט.,הכתובות מ-SECTION 08.,href על כל שם.,treatment-defaults.php SECTION 08,,,בוצע 17.8.26. נוסח דן נשאר הקצר שבמסמך העמוד.,,
עמוד · השיטה,R1-03,MTH-01,בתמונת ההירו (ובתמונה ליד «מהי השיטה») אין קובץ במסמך. בחרי מה לעשות.,,,,בוצע,—,ברור,תמונות העמוד,SECTION 01 · SECTION 02,המסמך מבקש תמונת רקע חזקה בלי לציין קובץ. כרגע נשארו תמונות שכבר היו באתר.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,method-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/method/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",גל 3 21.8.26: אייל «להשאיר». תמונות לא הוחלפו. עמודה 5 מקומית יושמה. Composer PASS VERDICT-S006-W3-METHOD.,,
עמוד · השיטה,R1-03,MTH-02,—,,,,בוצע,—,ברור,הסרת פסקת circular-breathing וקופסת ממתין-לאישור,SECTION 02,פסקה שהומצאה + קופסת WP-S4-07 שלא במסמך.,SECTION 02 ככתבו.,הדבקה מילה-במילה. הקופסה ירדה.,method-defaults.php SECTION 02,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-03,—,,,,בוצע,—,ברור,14 סקשנים כבלוקים נפרדים,SECTION 01–14,סקשנים 02/03/05/07/08/10/12/13 היו דחוסים ל-split_body.,כל סקשן במסמך כבלוק משלו.,phero + sections[] כמו /treatment/.,method-defaults.php · tpl-chapters-method.php,,,בוצע 17.8.26. רצועת bleed שהומצאה ירדה.,,
עמוד · השיטה,R1-03,MTH-04,—,,,,בוצע,—,ברור,למי מתאים — רשימה כתובה,SECTION 09,כרטיסי תמונה עם כותרות שהומצאו; חסר «פתרון קסם».,חמש הפסקאות מ-SECTION 09.,החלפה לרשימה כתובה.,method-defaults.php SECTION 09,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 7 מהמסמך,SECTION 11,אקורדיון CPT עם שתי שאלות שלא במסמך העמוד.,שבע השאלות מ-SECTION 11 כולל קישורי בלוג/BMJ/FAQ.,"faq-inline, בלי לגעת ב-block-faq-list.php.",method-defaults.php SECTION 11,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על שמונה ממליצים,SECTION 12,שמות בלי href.,שמונה הכתובות מ-SECTION 12.,href על כל שם.,method-defaults.php SECTION 12,,,בוצע 17.8.26. נוסח הציטוטים מהמסמך של העמוד הזה.,,
עמוד · השיטה,R1-03,MTH-07,—,,,,בוצע,—,ברור,סטודיו נשימה מעגלית + קישור /learning/,SECTION 08 · SECTION 13,חסר שם הסטודיו; «לימוד והכשרה» הצביע ל-/lessons/.,SECTION 08 כולל הסטודיו. SECTION 13 → /learning/.,הדבקה מילה-במילה.,method-defaults.php SECTION 08 · 13,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-08,—,,,,בוצע,—,ברור,CTA ל-/contact/ + טקסט SECTION 14,SECTION 01 · SECTION 14,חסרו פסקאות האמצע של SECTION 14.,[לתיאום שיחת היכרות](/contact) + שלושת בלוקי SECTION 14.,cta_url=/contact/ וגוף מלא.,method-defaults.php phero + cta,,,בוצע 17.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-01,בתמונת ההירו (ובתמונה ליד «מה זה ללמוד») אין קובץ במסמך. בחרי מה לעשות.,,,,בוצע,—,ברור,תמונות העמוד,SECTION 01 · SECTION 02,המסמך מבקש תמונת סטודיו / איור בלי לציין קובץ. כרגע נשארו תמונות שכבר היו באתר.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,lessons-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/lessons/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",גל 1 21.8.26. מקור: שיעורי דיג_רידו.xlsx D4 «להשאיר». אפס החלפת מדיה. Composer PASS.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-02,בסקשן «איך נראים השיעורים בפועל» המסמך מבקש וידאו בלי קובץ. הדביקו קישור או אמרו שאין וידאו.,,,,הוקפא,—,ברור,וידאו השיעורים בפועל,SECTION 04,"DEV NOTES: טקסט + וידאו, בלי שם קובץ. לא רונדר רכיב וידאו (אין תוכן = אין רכיב).","קישור YouTube/Vimeo או קובץ, או «בלי וידאו».",שיבוץ הווידאו או השארת טקסט בלבד.,lessons-defaults.php SECTION 04,http://eyalamit-co-il-2026.s887.upress.link/lessons/,יש וידאו — הדביקו קישור או שם קובץ בעמודת מילוי. אין וידאו — הטקסט נשאר כמו שהוא.,"גל 11: וידאו בהמשך, שלד נשאר. אפס PHP. הוקפא.",,
עמוד · שיעורי דיג'רידו,R1-04,LSN-03,—,,,,בוצע,—,ברור,סדר 01–10 + הירו בלי em + הסרת פסקת פתיחה שהומצאה ב-02,SECTION 01–10,סדר 05 לפני 04; כותרת הירו עם em שהומצא; פסקה ראשונה ב-02 אינה במסמך.,"SECTION 01–10 ככתבם, H1 בלי em, בלי פסקת הפתיחה שהומצאה.",הדבקה מילה-במילה בסדר המסמך.,lessons-defaults.php,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-04,—,,,,בוצע,—,ברור,למי זה מתאים — רשימה כתובה,SECTION 06,כרטיסי .reveals עם כותרות שהומצאו + פסקת עודף.,שש הפסקאות מ-SECTION 06.,החלפה לרשימה כתובה. בלי .reveals.,lessons-defaults.php SECTION 06,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 8 מהמסמך,SECTION 09,אקורדיון CPT (faqblock cats:lessons) במקום 8 השאלות של העמוד.,שמונה השאלות מ-SECTION 09.,"faq-inline, בלי לגעת ב-block-faq-list.php.",lessons-defaults.php SECTION 09,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על תשעה ממליצים,SECTION 08,שמות בלי href.,תשע הכתובות מ-SECTION 08.,href על כל שם.,lessons-defaults.php SECTION 08,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-07,—,,,,בוצע,—,ברור,ניתוב /didgeridoo-treatment → /treatment/ + קישורי method ככתבם,SECTION 01 · 03 · 07 · 09,md מצביע ל-/didgeridoo-treatment שמתפנה ל-/treatment/ בסטייג'ינג. מוקש היה עם href שהומצא.,/treatment/ כמו ריברסינג/מוקש. [cbDIDG](/method) ו-[שיטת cbDIDG](/method) ככתבם. מוקש בלי href.,"ניתוב קנוני, לא ניסוח חדש.",lessons-defaults.php,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-08,—,,,,בוצע,—,ברור,CTA בלי כותרת שהומצאה,SECTION 10,h2 «בואו לנסות» אינו במסמך.,פסקה + כפתור [לתיאום שיעור ראשון](/contact).,cta בלי title.,lessons-defaults.php SECTION 10,,,בוצע 18.8.26.,,
