__sheet__,#,סטטוס מכונה,סטטוס אישור,ממתין ל,נתיב,כותרת,סוג,קובץ תוכן,מקור חומר (אייל),WP קשור,תאריך עבודה אחרון,ראיות QA,הערות סוכן,הערות נימרוד,הערות אייל,תאריך אישור
סבב-1-ליבה,R1-01,בעבודה,חזר לתיקונים,אייל,/,בית,עמוד,home-defaults.php,דף הבית,S002-P001-WP002 (ON_HOLD),2026-08-17,R1 PASS 17.8 + tails 21.8 CONTRACT-A + E2E-B PASS · H-01,"שלד 03+09 נבנה. ממתינים לאייל: H-01 ציר זמן · H-06 קישורי וידאו · H-07 מדיה (הפלייסהולדר חי, השאלה ניתנת להצגה).",,"עדויות והמלצות. 1- מבחינת התוכן אמורים להופיע 16 המלצות ולא רק 3 כפי שמופיע עכשיו. ראה את כולן במסמך האמ.די. שהגשתי לך 2- מעבר לזה צריך לתקן את הקרוסלה עצמה. כרגע היא זזה מימין לשמאל בצורה אוטומטית ולא ניתן לעצור אותה או להזיז ימינה. מה שאני רוצה זו קרוסלה דומה אבל שיהיו לה שני חצים בצדדים. חץ שמאלה שמאפשר תזוזה שמאלה וחץ ימינה שמאפשר תזוזה ימינה. 3- מעבר לכך אשמח אם בכל המלצה תופיע תמונת פרופיל קטנה של כל ממליץ. אם אין לך כרגע תמונה שים סתם תמונה אייקונית ואחכ אערוך ואשים את התמונה הנכונה. כשיש להמלצה פנים זה הרבה יותר סמכותי ומשכנע. את סעיף 3 צריך להחיל לגבי כל ההמלצות באתר. איפה שיש המלצה צריכה להופיע תמונה של הממליץ בקטן. 4- שים לב שמתחת לקרוסלה צריך להופיע לחצן המפנה לדף כל ההמלצות. חשוב שהכפתור יהיה באותו בלוק של הקרוסלה ולא בבלוק נפרד.


בדף הבית ובדפים הפנימיים החשובים צריך להוסיף קרוסלת סירטונים! שהאתר יראה יותר חי. יש לי מלא סרטונים מהממים מהאינסטגרם...",2026-08-31
סבב-1-ליבה,R1-02,בעבודה,חזר לתיקונים,אייל,/treatment/,טיפול בדיג'רידו,עמוד,treatment-defaults.php,טיפול בדיג'רידו,,2026-08-17,R1 PASS 17.8 + tails 21.8 CONTRACT-A + E2E-B PASS · T-01,PASS E2E+אקסל Composer. ממתין לאייל: T-01 גרסה · T-02 סרטון. /treatment/ ו-?compare=eyal,,"עדויות והמלצות. 1- מבחינת התוכן אמורים להופיע 13 המלצות ולא רק 3 כפי שמופיע עכשיו. ראה את כולן במסמך האמ.די. שהגשתי לך 2- מעבר לזה צריך לתקן את הקרוסלה עצמה. כרגע היא זזה מימין לשמאל בצורה אוטומטית ולא ניתן לעצור אותה או להזיז ימינה. מה שאני רוצה זו קרוסלה דומה אבל שיהיו לה שני חצים בצדדים. חץ שמאלה שמאפשר תזוזה שמאלה וחץ ימינה שמאפשר תזוזה ימינה. 3- מעבר לכך אשמח אם בכל המלצה תופיע תמונת פרופיל קטנה של כל ממליץ. אם אין לך כרגע תמונה שים סתם תמונה אייקונית ואחכ אערוך ואשים את התמונה הנכונה. כשיש להמלצה פנים זה הרבה יותר סמכותי ומשכנע. את סעיף 3 צריך להחיל לגבי כל ההמלצות באתר. איפה שיש המלצה צריכה להופיע תמונה של הממליץ בקטן. 4- שים לב שמתחת לקרוסלה צריך להופיע לחצן המפנה לדף כל ההמלצות. חשוב שהכפתור יהיה באותו בלוק של הקרוסלה ולא בבלוק נפרד.


צריך להוסיף קרוסלת סירטונים! שהאתר יראה יותר חי. יש לי מלא סרטונים מהממים מהאינסטגרם...",2026-08-31
סבב-1-ליבה,R1-03,הוגש לבדיקה,—,אייל,/method/,השיטה,עמוד,method-defaults.php,השיטה,,2026-08-18,VERDICT PASS חוזה + E2E/אקסל (composer-2.5 ≠ בנאי Grok). 14 סקשנים · 7 FAQ · 8 FB · ריברסינג R2-058. MTH-01 תמונות. artifacts: VERDICT-R1-03-METHOD-2026-08-17.md · VERDICT-R1-03-E2E-LENS-2026-08-18.md,14 סקשנים מה-md. ממתין לאייל: MTH-01 תמונות הירו/ספליט.,,,
סבב-1-ליבה,R1-04,בעבודה,חזר לתיקונים,אייל,/lessons/,שיעורי דיג'רידו,עמוד,lessons-defaults.php,שיעורי נגינה,,2026-08-18,R1 PASS 18.8 + tails 21.8 CONTRACT-A + E2E-B PASS · LSN-09,10 סקשנים מה-md. ממתין לאייל: LSN-01 תמונות · LSN-02 וידאו · LSN-09 קישור הריון.,,"עדויות והמלצות. 1- מבחינת התוכן אמורים להופיע 9 המלצות ולא רק 3 כפי שמופיע עכשיו. ראה את כולן במסמך האמ.די. שהגשתי לך 2- מעבר לזה צריך לתקן את הקרוסלה עצמה. כרגע היא זזה מימין לשמאל בצורה אוטומטית ולא ניתן לעצור אותה או להזיז ימינה. מה שאני רוצה זו קרוסלה דומה אבל שיהיו לה שני חצים בצדדים. חץ שמאלה שמאפשר תזוזה שמאלה וחץ ימינה שמאפשר תזוזה ימינה. 3- מעבר לכך אשמח אם בכל המלצה תופיע תמונת פרופיל קטנה של כל ממליץ. אם אין לך כרגע תמונה שים סתם תמונה אייקונית ואחכ אערוך ואשים את התמונה הנכונה. כשיש להמלצה פנים זה הרבה יותר סמכותי ומשכנע. את סעיף 3 צריך להחיל לגבי כל ההמלצות באתר. איפה שיש המלצה צריכה להופיע תמונה של הממליץ בקטן. 4- שים לב שמתחת לקרוסלה צריך להופיע לחצן המפנה לדף כל ההמלצות. חשוב שהכפתור יהיה באותו בלוק של הקרוסלה ולא בבלוק נפרד.


צריך להוסיף קרוסלת סירטונים! שהאתר יראה יותר חי. יש לי מלא סרטונים מהממים מהאינסטגרם...",2026-08-31
סבב-1-ליבה,R1-05,בעבודה,חזר לתיקונים,אייל,/sound-healing/,סאונד הילינג,עמוד,sound-healing-defaults.php,סאונדהילינג,,2026-08-18,VERDICT PASS חוזה + E2E/אקסל (composer-2.5 ≠ בנאי Grok). 10 סקשנים · 8 FAQ · 8 FB. SH-01 תמונות · SH-02 וידאו. artifacts: VERDICT-R1-05-SOUND-HEALING-2026-08-18.md · VERDICT-R1-05-E2E-LENS-2026-08-18.md,10 סקשנים מה-md. ממתין לאייל: SH-01 תמונות · SH-02 וידאו.,,"עדויות והמלצות. 1- מבחינת התוכן אמורים להופיע 8 המלצות ולא רק 3 כפי שמופיע עכשיו. ראה את כולן במסמך האמ.די. שהגשתי לך 2- מעבר לזה צריך לתקן את הקרוסלה עצמה. כרגע היא זזה מימין לשמאל בצורה אוטומטית ולא ניתן לעצור אותה או להזיז ימינה. מה שאני רוצה זו קרוסלה דומה אבל שיהיו לה שני חצים בצדדים. חץ שמאלה שמאפשר תזוזה שמאלה וחץ ימינה שמאפשר תזוזה ימינה. 3- מעבר לכך אשמח אם בכל המלצה תופיע תמונת פרופיל קטנה של כל ממליץ. אם אין לך כרגע תמונה שים סתם תמונה אייקונית ואחכ אערוך ואשים את התמונה הנכונה. כשיש להמלצה פנים זה הרבה יותר סמכותי ומשכנע. את סעיף 3 צריך להחיל לגבי כל ההמלצות באתר. איפה שיש המלצה צריכה להופיע תמונה של הממליץ בקטן. 4- שים לב שמתחת לקרוסלה צריך להופיע לחצן המפנה לדף כל ההמלצות. חשוב שהכפתור יהיה באותו בלוק של הקרוסלה ולא בבלוק נפרד.



צריך להוסיף קרוסלת סירטונים! שהאתר יראה יותר חי. יש לי מלא סרטונים מהממים מהאינסטגרם...",2026-08-31
סבב-1-ליבה,R1-06,הוקפא,—,נימרוד,/learning/,לימוד והכשרה,עמוד,learning-defaults.php,,,,,"הוקפא 18.8.26: אין תיקיית חומר ל-/learning/, אין סקירה, החי טיוטת צוות. לא ממציאים עותק hub. ילדים מחוץ לגל.",,,
סבב-1-ליבה,R1-07,הוקפא,—,נימרוד,/learning/therapist-training/,הכשרות למטפלים,עמוד,therapist-training-defaults.php,,,,,"הוקפא 18.8.26: אין תיקיית חומר להכשרות למטפלים, אין סקירה, החי טיוטת צוות. לא ממציאים עותק. אב /learning/ לא נפתח.",,,
סבב-1-ליבה,R1-08,הוגש לבדיקה,אושר ע״י אייל,—,/learning/lectures/,הרצאות,עמוד,lectures-defaults.php,,,,VERDICT PASS W10 lectures/workshops composer-2.5 ≠ בנאי Grok. artifact: _COMMUNICATION/team_90/VERDICT-S006-W10-LECTURES-WORKSHOPS-2026-08-21.md,גל 10 עלה; גל 11 הגשה אחרי מעבר חוקי הוקפא→בעבודה→הוגש. Composer W10 PASS.,,,2026-08-31
סבב-1-ליבה,R1-09,הוגש לבדיקה,אושר ע״י אייל,—,/learning/workshops/,סדנאות,עמוד,workshops-defaults.php,,,,VERDICT PASS W10 lectures/workshops composer-2.5 ≠ בנאי Grok. artifact: _COMMUNICATION/team_90/VERDICT-S006-W10-LECTURES-WORKSHOPS-2026-08-21.md,גל 10 עלה; גל 11 הגשה אחרי מעבר חוקי הוקפא→בעבודה→הוגש. Composer W10 PASS.,,,2026-08-31
סבב-1-ליבה,R1-10,הוגש לבדיקה,חזר לתיקונים,סוכן בנייה,/shop/,עמוד קטלוג ראשי,עמוד,shop-defaults.php,כלים למכירה,,,נמדד חי 7.9 אחרי פריסה: phero__lede עם 3 פסקאות בתוך <header> · בלוק prose הוסר · רשת bookcard שלמה · style.css 1.5.22 · chapters.css נושא 3 סלקטורי .phero__lede,"M-01+M-03 (team_110). בייטים זהים לגוף sections[0] שנמחק, sha256 847379c0. ממתין לאייל.",,"את בלוק 2 תמחק ואת הטקסט הבא תשלב בהירו מתחת לכותרת הראשית: מקום אחד שמרכז את כל מה שנגן דיג׳רידו צריך - משלב בחירת הכלי ועד לנגינה, נשיאה, אחסון ותחזוקה לאורך השנים.

כאן ניתן למצוא כלי דיג׳רידו בעבודת יד, שירותי תיקון וחידוש כלים, תיקים לדיג׳רידו, סטנדים לאחסון וסטנד רצפתי לנגינה.

כל השירותים והמוצרים נשענים על יותר משני עשורים של ניסיון, היכרות עמוקה עם הדיג׳רידו והבנה מעשית של הצרכים של נגנים - מתחילים ומנוסים כאחד.",2026-08-31
