wp_id,title,slug_or_path,modified,url_live_placeholder,content_owner,lock_url,notes
15177,QR,qr,2016-12-11 11:43:56,https://www.eyalamit.co.il/qr/,Eyal,YES — printed QR,
14939,qr10 - וואט איז דאט?,qr10,2017-06-18 02:06:17,https://www.eyalamit.co.il/qr10/,Eyal,YES — printed QR,
14942,qr11 - חורשט זבזי,qr11,2017-06-18 02:07:59,https://www.eyalamit.co.il/qr11/,Eyal,YES — printed QR,
14944,qr12 - אינדיאנה ג'ונס והמכרה הארור,qr12,2017-06-18 02:10:53,https://www.eyalamit.co.il/qr12/,Eyal,YES — printed QR,
14955,qr13 - ואהבתָ,qr13,2017-06-18 02:12:19,https://www.eyalamit.co.il/qr13/,Eyal,YES — printed QR,
14957,qr14 - גורילות בערפל האמזונס,qr14,2017-06-18 02:18:43,https://www.eyalamit.co.il/qr14/,Eyal,YES — printed QR,
14960,qr15 - היקיקומורי,qr15,2017-06-18 02:22:36,https://www.eyalamit.co.il/qr15/,Eyal,YES — printed QR,
14964,qr16 - דם על הידיים,qr16,2017-07-18 13:29:29,https://www.eyalamit.co.il/qr16/,Eyal,YES — printed QR,
14966,qr17 - יוגי לודג',qr17,2017-06-18 02:32:00,https://www.eyalamit.co.il/qr17/,Eyal,YES — printed QR,
14970,qr18 - אחד לשלושה טריליון,qr18,2017-06-18 02:33:14,https://www.eyalamit.co.il/qr18/,Eyal,YES — printed QR,
14972,qr19 - הפיצה הכי טעימה שאכלתי בחיים,qr19,2017-06-18 02:35:05,https://www.eyalamit.co.il/qr19/,Eyal,YES — printed QR,
14892,qr2 - אקדח לתוך הראש,qr2,2017-06-18 01:43:26,https://www.eyalamit.co.il/qr2/,Eyal,YES — printed QR,
14976,"qr20 - אבא, אני רעב",qr20,2017-06-18 02:35:55,https://www.eyalamit.co.il/qr20/,Eyal,YES — printed QR,
14978,qr21 - ג'סי ראם!,qr21,2017-06-18 02:36:42,https://www.eyalamit.co.il/qr21/,Eyal,YES — printed QR,
14982,qr22 - בולט אנט,qr22,2017-06-18 02:38:41,https://www.eyalamit.co.il/qr22/,Eyal,YES — printed QR,
14984,qr23 - יום כן יום לא,qr23,2017-06-18 02:46:31,https://www.eyalamit.co.il/qr23/,Eyal,YES — printed QR,
14986,qr24 - קוֹל פּוּט שוֹרט סטופ!,qr24,2017-06-18 02:47:43,https://www.eyalamit.co.il/qr24/,Eyal,YES — printed QR,
14988,qr25 - גרין ווש,qr25,2017-06-18 02:48:39,https://www.eyalamit.co.il/qr25/,Eyal,YES — printed QR,
14990,qr26 - כורסת הציפורניים,qr26,2017-08-06 11:10:19,https://www.eyalamit.co.il/qr26/,Eyal,YES — printed QR,
14992,qr27 - אמסטרדם,qr27,2017-06-18 02:51:51,https://www.eyalamit.co.il/qr27/,Eyal,YES — printed QR,
14994,qr28 - נזכור ולא נשכח,qr28,2017-06-18 02:58:06,https://www.eyalamit.co.il/qr28/,Eyal,YES — printed QR,
14996,qr29 - לעבור דירה,qr29,2017-06-18 02:58:58,https://www.eyalamit.co.il/qr29/,Eyal,YES — printed QR,
14897,qr3 - האלמנה השחורה,qr3,2017-06-18 01:45:13,https://www.eyalamit.co.il/qr3/,Eyal,YES — printed QR,
14998,qr30 - פרדס חפלה,qr30,2017-08-06 11:20:22,https://www.eyalamit.co.il/qr30/,Eyal,YES — printed QR,
