url	direct_code	direct_location	follow_code	num_redirects	url_effective	verdict
/qr/qr1/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr1/	PASS
/qr/qr2/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr2/	PASS
/qr/qr3/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr3/	PASS
/qr/qr4/	200	-	000	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr4/	PASS
/qr/qr5/	200	-	000	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr5/	PASS
/qr/qr6/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr6/	PASS
/qr/qr7/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr7/	PASS
/qr/qr8/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr8/	PASS
/qr/qr9/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr9/	PASS
/qr/qr10/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr10/	PASS
/qr/qr11/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr11/	PASS
/qr/qr12/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr12/	PASS
/qr/qr13/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr13/	PASS
/qr/qr14/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr14/	PASS
/qr/qr15/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr15/	PASS
/qr/qr16/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr16/	PASS
/qr/qr17/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr17/	PASS
/qr/qr18/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr18/	PASS
/qr/qr19/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr19/	PASS
/qr/qr20/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr20/	PASS
/qr/qr21/	200	-	000	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr21/	PASS
/qr/qr22/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr22/	PASS
/qr/qr23/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr23/	PASS
/qr/qr24/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr24/	PASS
/qr/qr25/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr25/	PASS
/qr/qr26/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr26/	PASS
/qr/qr27/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr27/	PASS
/qr/qr28/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr28/	PASS
/qr/qr29/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr29/	PASS
/qr/qr30/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr30/	PASS
/qr/qr31/	200	-	000	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr31/	PASS
/qr/qr32/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr32/	PASS
/qr/qr33/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr33/	PASS
/qr/qr34/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr34/	PASS
/qr/qr35/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr35/	PASS
/qr/qr36/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr36/	PASS
/qr/qr37/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr37/	PASS
/qr/qr38/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr38/	PASS
/qr/qr39/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr39/	PASS
/qr/qr40/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr40/	PASS
/qr/qr41/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr41/	PASS
/qr/qr42/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr42/	PASS
/qr/qr43/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr43/	PASS
/qr/qr44/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr44/	PASS
/qr/qr45/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr45/	PASS
/qr/qr46/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr46/	PASS
/qr/qr47/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr47/	PASS
/qr/qr48/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/qr48/	PASS
/qr/	200	-	200	0	https://eyalamit-co-il-2026.s887.upress.link/qr/	PASS
